so,req,database,type,total_time,server_response,db_response,cpu_usage
linux,10,mysql,read,0.103919983,0.102026939,0.001533031,0
linux,10,mysql,read,0.105242014,0.102935076,0.002434015,0
linux,10,mysql,read,0.108108997,0.105315208,0.004618168,1.3
linux,10,mysql,read,0.103399038,0.101954937,0.001537085,0
linux,10,mysql,read,0.105277777,0.103502035,0.002977133,0
linux,10,mysql,read,0.103712082,0.102217913,0.001771927,1.3
linux,10,mysql,read,0.104874134,0.10312891,0.002640009,0
linux,10,mysql,read,0.106110096,0.102028131,0.001337051,17.7
linux,10,mysql,read,0.103285074,0.101821184,0.001405001,2.5
linux,10,mysql,read,0.108541012,0.10569787,0.004999876,1.3
linux,10,mysql,read,0.107192039,0.104653835,0.003959894,1.3
linux,10,mysql,read,0.105538845,0.102539063,0.001997948,1.2
linux,10,mysql,read,0.103400946,0.10195303,0.001523972,1.3
linux,10,mysql,read,0.103348017,0.101898909,0.001475811,0
linux,10,mysql,read,0.106517076,0.104166031,0.003553152,0
linux,10,mysql,read,0.107143879,0.104621887,0.00394392,1.2
linux,10,mysql,read,0.107285023,0.105031013,0.00441885,0
linux,10,mysql,read,0.103919029,0.102343082,0.001902103,0
linux,10,mysql,read,0.107564926,0.10470295,0.003988981,2.5
linux,10,mysql,read,0.107517958,0.104676962,0.003957033,1.3
linux,10,mysql,read,0.104737043,0.102946043,0.002444029,1.2
linux,10,mysql,read,0.106662989,0.104195833,0.003578901,0
linux,10,mysql,read,0.107453823,0.104668856,0.003962994,1.3
linux,10,mysql,read,0.104994059,0.103374958,0.002893925,1.2
linux,10,mysql,read,0.104275942,0.102640867,0.002173901,0
linux,10,mysql,read,0.103456974,0.102000952,0.001568079,1.2
linux,10,mysql,read,0.107717037,0.10473609,0.003992081,1.3
linux,10,mysql,read,0.10340786,0.101932049,0.001512051,1.2
linux,10,mysql,read,0.106514931,0.104218006,0.003597021,1.2
linux,10,mysql,read,0.107644081,0.104743004,0.004019976,2.5
linux,10,mysql,read,0.109284878,0.105818987,0.00501585,1.2
linux,10,mysql,read,0.10608983,0.104079962,0.003514051,1.2
linux,10,mysql,read,0.104332924,0.102658033,0.002192974,0
linux,10,mysql,read,0.10338378,0.101921082,0.001501083,0
linux,10,mysql,read,0.107851982,0.104753017,0.004011154,1.2
linux,10,mysql,read,0.105373144,0.10355401,0.003025055,1.2
linux,10,mysql,read,0.103409052,0.101946831,0.001521826,0
linux,10,mysql,read,0.104425907,0.102885008,0.002408981,1.3
linux,10,mysql,read,0.106898069,0.10367012,0.002953053,1.2
linux,10,mysql,read,0.103340864,0.101890802,0.001479864,0
linux,10,mysql,read,0.103756189,0.102240801,0.001794815,1.2
linux,10,mysql,read,0.10531497,0.103517056,0.002993107,0
linux,10,mysql,read,0.104249001,0.102649927,0.002174854,1.2
linux,10,mysql,read,0.107702971,0.104686975,0.003950834,1.2
linux,10,mysql,read,0.108561993,0.105723858,0.005003929,2.5
linux,10,mysql,read,0.10647893,0.104164124,0.003535032,1.3
linux,10,mysql,read,0.104259014,0.102668047,0.002202988,0
linux,10,mysql,read,0.106940985,0.104593992,0.003951073,1.3
linux,10,mysql,read,0.107529163,0.104690075,0.003972054,2.5
linux,10,mysql,read,0.105345964,0.103527069,0.002990961,1.2
linux,10,mysql,write,0.195051908,0.193332911,0.090758085,1.2
linux,10,mysql,write,0.134341002,0.131721973,0.028688908,0
linux,10,mysql,write,0.193688869,0.192188978,0.09058404,2.6
linux,10,mysql,write,0.168995142,0.167548895,0.065530062,0
linux,10,mysql,write,0.169971943,0.168505907,0.066511869,1.3
linux,10,mysql,write,0.195427895,0.193398952,0.091139078,2.5
linux,10,mysql,write,0.175767899,0.172163963,0.068328142,0
linux,10,mysql,write,0.175021887,0.171941996,0.068071127,1.2
linux,10,mysql,write,0.204455853,0.202380896,0.100058794,3.7
linux,10,mysql,write,0.172418118,0.170623064,0.068781853,0
linux,10,mysql,write,0.174810886,0.171844959,0.068040133,0
linux,10,mysql,write,0.175373077,0.171991825,0.068192959,0
linux,10,mysql,write,0.193809032,0.192358971,0.090821028,2.5
linux,10,mysql,write,0.174669027,0.171522141,0.067960978,0
linux,10,mysql,write,0.176871061,0.173520088,0.06922102,0
linux,10,mysql,write,0.173852921,0.171625137,0.068116903,0
linux,10,mysql,write,0.227904797,0.225673199,0.123394966,1.3
linux,10,mysql,write,0.175128937,0.171943903,0.068133831,0
linux,10,mysql,write,0.182685137,0.180356026,0.077095985,0
linux,10,mysql,write,0.169126034,0.16770196,0.065601826,0
linux,10,mysql,write,0.170406103,0.167612076,0.06555295,0
linux,10,mysql,write,0.211143017,0.20927,0.107325792,2.5
linux,10,mysql,write,0.172556877,0.170376062,0.067492008,0
